letter,word,expected_filename,shared_with_other_letters
s,sailboat,audio/words/sailboat.mp3,
s,sandwich,audio/words/sandwich.mp3,
s,seal,audio/words/seal.mp3,
s,seven,audio/words/seven.mp3,
s,six,audio/words/six.mp3,x
s,snail,audio/words/snail.mp3,
s,snake,audio/words/snake.mp3,
s,soap,audio/words/soap.mp3,
s,sock,audio/words/sock.mp3,
s,spider,audio/words/spider.mp3,
s,star,audio/words/star.mp3,
s,sun,audio/words/sun.mp3,
a,alarm,audio/words/alarm.mp3,
a,alligator,audio/words/alligator.mp3,
a,ambulance,audio/words/ambulance.mp3,
a,anchor,audio/words/anchor.mp3,
a,ant,audio/words/ant.mp3,
a,apple,audio/words/apple.mp3,
a,arrow,audio/words/arrow.mp3,
a,astronaut,audio/words/astronaut.mp3,
a,avocado,audio/words/avocado.mp3,
a,axe,audio/words/axe.mp3,
t,tap,audio/words/tap.mp3,
t,teeth,audio/words/teeth.mp3,
t,telephone,audio/words/telephone.mp3,
t,tent,audio/words/tent.mp3,
t,tiger,audio/words/tiger.mp3,
t,tomato,audio/words/tomato.mp3,
t,toothbrush,audio/words/toothbrush.mp3,
t,torch,audio/words/torch.mp3,
t,train,audio/words/train.mp3,
t,tree,audio/words/tree.mp3,
t,trumpet,audio/words/trumpet.mp3,
t,turtle,audio/words/turtle.mp3,
p,panda,audio/words/panda.mp3,
p,parrot,audio/words/parrot.mp3,
p,pear,audio/words/pear.mp3,
p,pen,audio/words/pen.mp3,
p,pencil,audio/words/pencil.mp3,
p,penguin,audio/words/penguin.mp3,
p,piano,audio/words/piano.mp3,
p,pineapple,audio/words/pineapple.mp3,
p,pizza,audio/words/pizza.mp3,
p,plane,audio/words/plane.mp3,
p,pumpkin,audio/words/pumpkin.mp3,
p,purse,audio/words/purse.mp3,
i,igloo,audio/words/igloo.mp3,
i,iguana,audio/words/iguana.mp3,
i,ill,audio/words/ill.mp3,
i,ink,audio/words/ink.mp3,
i,insect,audio/words/insect.mp3,
n,napkin,audio/words/napkin.mp3,
n,necklace,audio/words/necklace.mp3,
n,needle,audio/words/needle.mp3,
n,nest,audio/words/nest.mp3,
n,net,audio/words/net.mp3,
n,newspaper,audio/words/newspaper.mp3,
n,nine,audio/words/nine.mp3,
n,noodles,audio/words/noodles.mp3,
n,nose,audio/words/nose.mp3,
n,notebook,audio/words/notebook.mp3,
n,nurse,audio/words/nurse.mp3,
n,nut,audio/words/nut.mp3,
m,mango,audio/words/mango.mp3,
m,map,audio/words/map.mp3,
m,mask,audio/words/mask.mp3,
m,mermaid,audio/words/mermaid.mp3,
m,microphone,audio/words/microphone.mp3,
m,milk,audio/words/milk.mp3,
m,mirror,audio/words/mirror.mp3,
m,moon,audio/words/moon.mp3,
m,motorcycle,audio/words/motorcycle.mp3,
m,mouse,audio/words/mouse.mp3,
m,muffin,audio/words/muffin.mp3,
m,mushroom,audio/words/mushroom.mp3,
d,diamond,audio/words/diamond.mp3,
d,dice,audio/words/dice.mp3,
d,dinosaur,audio/words/dinosaur.mp3,
d,doctor,audio/words/doctor.mp3,
d,dog,audio/words/dog.mp3,
d,doll,audio/words/doll.mp3,
d,dolphin,audio/words/dolphin.mp3,
d,donut,audio/words/donut.mp3,
d,door,audio/words/door.mp3,
d,dragon,audio/words/dragon.mp3,
d,drum,audio/words/drum.mp3,
d,duck,audio/words/duck.mp3,
g,ghost,audio/words/ghost.mp3,
g,gift,audio/words/gift.mp3,
g,girl,audio/words/girl.mp3,
g,glasses,audio/words/glasses.mp3,
g,globe,audio/words/globe.mp3,
g,glove,audio/words/glove.mp3,
g,goat,audio/words/goat.mp3,
g,goose,audio/words/goose.mp3,
g,gorilla,audio/words/gorilla.mp3,
g,grapes,audio/words/grapes.mp3,
g,grass,audio/words/grass.mp3,
g,guitar,audio/words/guitar.mp3,
o,octopus,audio/words/octopus.mp3,
o,olive,audio/words/olive.mp3,
o,omelette,audio/words/omelette.mp3,
o,orange,audio/words/orange.mp3,
o,otter,audio/words/otter.mp3,
o,ox,audio/words/ox.mp3,x
c,cake,audio/words/cake.mp3,
c,camera,audio/words/camera.mp3,
c,candle,audio/words/candle.mp3,
c,car,audio/words/car.mp3,
c,carrot,audio/words/carrot.mp3,
c,castle,audio/words/castle.mp3,
c,cat,audio/words/cat.mp3,
c,clock,audio/words/clock.mp3,
c,cloud,audio/words/cloud.mp3,
c,cow,audio/words/cow.mp3,
c,crab,audio/words/crab.mp3,
c,cup,audio/words/cup.mp3,
k,kangaroo,audio/words/kangaroo.mp3,
k,kayak,audio/words/kayak.mp3,
k,kebab,audio/words/kebab.mp3,
k,kettle,audio/words/kettle.mp3,
k,key,audio/words/key.mp3,
k,keyboard,audio/words/keyboard.mp3,
k,king,audio/words/king.mp3,
k,kite,audio/words/kite.mp3,
k,kitten,audio/words/kitten.mp3,
k,kiwi,audio/words/kiwi.mp3,
k,koala,audio/words/koala.mp3,
e,egg,audio/words/egg.mp3,
e,elephant,audio/words/elephant.mp3,
e,elf,audio/words/elf.mp3,
e,elk,audio/words/elk.mp3,
e,engine,audio/words/engine.mp3,
e,envelope,audio/words/envelope.mp3,
e,escalator,audio/words/escalator.mp3,
u,umbrella,audio/words/umbrella.mp3,
u,uncle,audio/words/uncle.mp3,
u,underwear,audio/words/underwear.mp3,
u,up,audio/words/up.mp3,
r,rabbit,audio/words/rabbit.mp3,
r,raccoon,audio/words/raccoon.mp3,
r,radio,audio/words/radio.mp3,
r,rain,audio/words/rain.mp3,
r,rainbow,audio/words/rainbow.mp3,
r,restaurant,audio/words/restaurant.mp3,
r,ring,audio/words/ring.mp3,
r,robot,audio/words/robot.mp3,
r,rocket,audio/words/rocket.mp3,
r,roof,audio/words/roof.mp3,
r,rose,audio/words/rose.mp3,
r,ruler,audio/words/ruler.mp3,
h,hammer,audio/words/hammer.mp3,
h,hand,audio/words/hand.mp3,
h,hat,audio/words/hat.mp3,
h,heart,audio/words/heart.mp3,
h,hedgehog,audio/words/hedgehog.mp3,
h,helicopter,audio/words/helicopter.mp3,
h,hen,audio/words/hen.mp3,
h,hippo,audio/words/hippo.mp3,
h,honey,audio/words/honey.mp3,
h,horse,audio/words/horse.mp3,
h,hotdog,audio/words/hotdog.mp3,
h,house,audio/words/house.mp3,
b,ball,audio/words/ball.mp3,
b,balloon,audio/words/balloon.mp3,
b,banana,audio/words/banana.mp3,
b,bear,audio/words/bear.mp3,
b,bee,audio/words/bee.mp3,
b,bell,audio/words/bell.mp3,
b,bicycle,audio/words/bicycle.mp3,
b,bird,audio/words/bird.mp3,
b,boat,audio/words/boat.mp3,
b,book,audio/words/book.mp3,
b,bus,audio/words/bus.mp3,
b,butterfly,audio/words/butterfly.mp3,
f,family,audio/words/family.mp3,
f,fan,audio/words/fan.mp3,
f,feather,audio/words/feather.mp3,
f,fire,audio/words/fire.mp3,
f,fish,audio/words/fish.mp3,
f,flag,audio/words/flag.mp3,
f,flower,audio/words/flower.mp3,
f,foot,audio/words/foot.mp3,
f,fork,audio/words/fork.mp3,
f,fountain,audio/words/fountain.mp3,
f,fox,audio/words/fox.mp3,x
f,frog,audio/words/frog.mp3,
l,ladder,audio/words/ladder.mp3,
l,ladybug,audio/words/ladybug.mp3,
l,lamp,audio/words/lamp.mp3,
l,leaf,audio/words/leaf.mp3,
l,lemon,audio/words/lemon.mp3,
l,lettuce,audio/words/lettuce.mp3,
l,lion,audio/words/lion.mp3,
l,lips,audio/words/lips.mp3,
l,lizard,audio/words/lizard.mp3,
l,lock,audio/words/lock.mp3,
l,log,audio/words/log.mp3,
l,lollipop,audio/words/lollipop.mp3,
j,jacket,audio/words/jacket.mp3,
j,jar,audio/words/jar.mp3,
j,jeans,audio/words/jeans.mp3,
j,jellyfish,audio/words/jellyfish.mp3,
j,jet,audio/words/jet.mp3,
j,jewel,audio/words/jewel.mp3,
j,jigsaw,audio/words/jigsaw.mp3,
j,journal,audio/words/journal.mp3,
j,joystick,audio/words/joystick.mp3,
j,jug,audio/words/jug.mp3,
j,juice,audio/words/juice.mp3,
j,jump rope,audio/words/jump-rope.mp3,
v,vacuum,audio/words/vacuum.mp3,
v,van,audio/words/van.mp3,
v,vase,audio/words/vase.mp3,
v,vegetable,audio/words/vegetable.mp3,
v,vest,audio/words/vest.mp3,
v,vet,audio/words/vet.mp3,
v,village,audio/words/village.mp3,
v,violin,audio/words/violin.mp3,
v,volcano,audio/words/volcano.mp3,
v,volleyball,audio/words/volleyball.mp3,
w,wagon,audio/words/wagon.mp3,
w,watch,audio/words/watch.mp3,
w,water,audio/words/water.mp3,
w,watermelon,audio/words/watermelon.mp3,
w,wave,audio/words/wave.mp3,
w,web,audio/words/web.mp3,
w,whale,audio/words/whale.mp3,
w,wheel,audio/words/wheel.mp3,
w,window,audio/words/window.mp3,
w,wizard,audio/words/wizard.mp3,
w,wolf,audio/words/wolf.mp3,
w,worm,audio/words/worm.mp3,
x,box,audio/words/box.mp3,
x,fox,audio/words/fox.mp3,f
x,ox,audio/words/ox.mp3,o
x,six,audio/words/six.mp3,s
x,taxi,audio/words/taxi.mp3,
x,x-ray,audio/words/x-ray.mp3,
y,yacht,audio/words/yacht.mp3,
y,yak,audio/words/yak.mp3,
y,yam,audio/words/yam.mp3,
y,yard,audio/words/yard.mp3,
y,yarn,audio/words/yarn.mp3,
y,yell,audio/words/yell.mp3,
y,yellow,audio/words/yellow.mp3,
y,yo-yo,audio/words/yo-yo.mp3,
z,zebra,audio/words/zebra.mp3,
z,zero,audio/words/zero.mp3,
z,zigzag,audio/words/zigzag.mp3,
z,zip,audio/words/zip.mp3,
z,zombie,audio/words/zombie.mp3,
z,zoo,audio/words/zoo.mp3,
z,zucchini,audio/words/zucchini.mp3,
q,quack,audio/words/quack.mp3,
q,quarter,audio/words/quarter.mp3,
q,queen,audio/words/queen.mp3,
q,question,audio/words/question.mp3,
q,quiet,audio/words/quiet.mp3,
q,quill,audio/words/quill.mp3,
q,quilt,audio/words/quilt.mp3,
q,quiz,audio/words/quiz.mp3,
